,x,y,label,wav,file,class
13250,-32.2380256652832,6.109169006347656,bed,../data/bed/652b3da7_nohash_2.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_652b3da7_nohash_2.wav,0
9202,-25.97785758972168,1.210066318511963,bed,../data/bed/71904de3_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_71904de3_nohash_0.wav,0
1403,14.440696716308594,3.972212791442871,bed,../data/bed/35d1b6ee_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_35d1b6ee_nohash_0.wav,0
9392,-23.174814224243164,4.338966369628906,bed,../data/bed/305776dd_nohash_1.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_305776dd_nohash_1.wav,0
13615,-24.55065155029297,6.168954849243164,bed,../data/bed/b1df80c0_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_b1df80c0_nohash_0.wav,0
10454,-30.479740142822266,9.788190841674805,bed,../data/bed/ccfd721c_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_ccfd721c_nohash_0.wav,0
10093,-31.388755798339844,6.105896472930908,bed,../data/bed/ffb86d3c_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_ffb86d3c_nohash_0.wav,0
4656,-30.17986297607422,4.231469631195068,bed,../data/bed/02746d24_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_02746d24_nohash_0.wav,0
11905,-30.4249267578125,8.549134254455566,bed,../data/bed/591d32f3_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_591d32f3_nohash_0.wav,0
12090,-26.770709991455078,14.239110946655273,bed,../data/bed/b1426003_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_b1426003_nohash_0.wav,0
5778,-23.490690231323242,-56.16794967651367,bed,../data/bed/10627519_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_10627519_nohash_0.wav,0
3648,-16.2310848236084,9.934967041015625,bed,../data/bed/f174517e_nohash_1.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_f174517e_nohash_1.wav,0
2742,-31.53649139404297,5.665309906005859,bed,../data/bed/bf4af1af_nohash_2.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_bf4af1af_nohash_2.wav,0
13610,-29.251434326171875,2.4203317165374756,bed,../data/bed/d2f4f431_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_d2f4f431_nohash_0.wav,0
9525,9.007098197937012,-10.105380058288574,bed,../data/bed/a996cf66_nohash_1.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_a996cf66_nohash_1.wav,0
10460,-29.482351303100586,5.940124034881592,bed,../data/bed/3df9a3d4_nohash_1.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_3df9a3d4_nohash_1.wav,0
963,-20.650449752807617,0.7362245917320251,bed,../data/bed/a4c938ce_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_a4c938ce_nohash_0.wav,0
7324,-24.5909366607666,-56.44906234741211,bed,../data/bed/11a022ba_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_11a022ba_nohash_0.wav,0
2726,-14.873225212097168,8.448158264160156,bed,../data/bed/c79159aa_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_c79159aa_nohash_0.wav,0
2715,-28.840999603271484,-0.22325891256332397,bed,../data/bed/b43c8f2f_nohash_1.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_b43c8f2f_nohash_1.wav,0
7318,-24.96156120300293,11.252047538757324,bed,../data/bed/3903b558_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_3903b558_nohash_0.wav,0
1440,-22.758750915527344,11.865843772888184,bed,../data/bed/e14a99a5_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_e14a99a5_nohash_0.wav,0
5486,-27.28527069091797,11.988672256469727,bed,../data/bed/3fb8c268_nohash_0.wav,https://sail.usc.edu/~somandep/maps/speech_commands_data/bed_3fb8c268_nohash_0.wav,0
